DATE & TIME, FREQUENCY(Hz)
12 June 2022 09:00:00,50.04
12 June 2022 09:00:05,49.98
12 June 2022 09:00:10,50.02
12 June 2022 09:00:15,50.04
12 June 2022 09:00:20,50.04
12 June 2022 09:00:25,50.03
12 June 2022 09:00:30,50.05
12 June 2022 09:00:35,50.05
12 June 2022 09:00:40,50.05
12 June 2022 09:00:45,50.05
12 June 2022 09:00:50,50.05
12 June 2022 09:00:55,50.05
12 June 2022 09:01:00,50.05
12 June 2022 09:01:05,50.04
12 June 2022 09:01:10,50.04
12 June 2022 09:01:15,50.04
12 June 2022 09:01:20,50.04
12 June 2022 09:01:25,50.06
12 June 2022 09:01:30,50.07
12 June 2022 09:01:35,50.05
12 June 2022 09:01:40,50.05
12 June 2022 09:01:45,50.06
12 June 2022 09:01:50,50.04
12 June 2022 09:01:55,50.06
12 June 2022 09:02:00,50.06
12 June 2022 09:02:05,50.05
12 June 2022 09:02:10,50.06
12 June 2022 09:02:15,50.06
12 June 2022 09:02:20,50.07
12 June 2022 09:02:25,50.07
12 June 2022 09:02:30,50.07
12 June 2022 09:02:35,50.07
12 June 2022 09:02:40,50.07
12 June 2022 09:02:45,50.07
12 June 2022 09:02:50,50.07
12 June 2022 09:02:55,50.07
12 June 2022 09:03:00,50.09
12 June 2022 09:03:05,50.08
12 June 2022 09:03:10,50.09
12 June 2022 09:03:15,50.08
12 June 2022 09:03:20,50.1
12 June 2022 09:03:25,50.09
12 June 2022 09:03:30,50.09
12 June 2022 09:03:35,50.08
12 June 2022 09:03:40,50.09
12 June 2022 09:03:45,50.09
12 June 2022 09:03:50,50.08
12 June 2022 09:03:55,50.09
12 June 2022 09:04:00,50.1
12 June 2022 09:04:05,50.09
12 June 2022 09:04:10,50.1
12 June 2022 09:04:15,50.1
12 June 2022 09:04:20,50.1
12 June 2022 09:04:25,50.1
12 June 2022 09:04:30,50.1
12 June 2022 09:04:35,50.1
12 June 2022 09:04:40,50.1
12 June 2022 09:04:45,50.11
12 June 2022 09:04:50,50.1
12 June 2022 09:04:55,50.1
12 June 2022 09:05:00,50.1
12 June 2022 09:05:05,50.08
12 June 2022 09:05:10,50.1
12 June 2022 09:05:15,50.1
12 June 2022 09:05:20,50.11
12 June 2022 09:05:25,50.1
12 June 2022 09:05:30,50.1
12 June 2022 09:05:35,50.1
12 June 2022 09:05:40,50.11
12 June 2022 09:05:45,50.11
12 June 2022 09:05:50,50.11
12 June 2022 09:05:55,50.11
12 June 2022 09:06:00,50.1
12 June 2022 09:06:05,50.09
12 June 2022 09:06:10,50.1
12 June 2022 09:06:15,50.08
12 June 2022 09:06:20,50.09
12 June 2022 09:06:25,50.08
12 June 2022 09:06:30,50.09
12 June 2022 09:06:35,50.09
12 June 2022 09:06:40,50.1
12 June 2022 09:06:45,50.1
12 June 2022 09:06:50,50.1
12 June 2022 09:06:55,50.1
12 June 2022 09:07:00,50.1
12 June 2022 09:07:05,50.08
12 June 2022 09:07:10,50.09
12 June 2022 09:07:15,50.09
12 June 2022 09:07:20,50.1
12 June 2022 09:07:25,50.09
12 June 2022 09:07:30,50.1
12 June 2022 09:07:35,50.1
12 June 2022 09:07:40,50.1
12 June 2022 09:07:45,50.1
12 June 2022 09:07:50,50.08
12 June 2022 09:07:55,50.08
12 June 2022 09:08:00,50.08
12 June 2022 09:08:05,50.07
12 June 2022 09:08:10,50.09
12 June 2022 09:08:15,50.08
12 June 2022 09:08:20,50.09
12 June 2022 09:08:25,50.08
12 June 2022 09:08:30,50.1
12 June 2022 09:08:35,50.1
12 June 2022 09:08:40,50.09
12 June 2022 09:08:45,50.09
12 June 2022 09:08:50,50.1
12 June 2022 09:08:55,50.09
12 June 2022 09:09:00,50.08
12 June 2022 09:09:05,50.05
12 June 2022 09:09:10,50.06
12 June 2022 09:09:15,50.07
12 June 2022 09:09:20,50.07
12 June 2022 09:09:25,50.06
12 June 2022 09:09:30,50.06
12 June 2022 09:09:35,50.08
12 June 2022 09:09:40,50.08
12 June 2022 09:09:45,50.07
12 June 2022 09:09:50,50.07
12 June 2022 09:09:55,50.07
12 June 2022 09:10:00,50.06
12 June 2022 09:10:05,50.03
12 June 2022 09:10:10,50.07
12 June 2022 09:10:15,50.07
12 June 2022 09:10:20,50.06
12 June 2022 09:10:25,50.06
12 June 2022 09:10:30,50.05
12 June 2022 09:10:35,50.05
12 June 2022 09:10:40,50.05
12 June 2022 09:10:45,50.03
12 June 2022 09:10:50,50.03
12 June 2022 09:10:55,50.05
12 June 2022 09:11:00,50.04
12 June 2022 09:11:05,50.05
12 June 2022 09:11:10,50.06
12 June 2022 09:11:15,50.06
12 June 2022 09:11:20,50.06
12 June 2022 09:11:25,50.05
12 June 2022 09:11:30,50.03
12 June 2022 09:11:35,50.03
12 June 2022 09:11:40,50.03
12 June 2022 09:11:45,50.02
12 June 2022 09:11:50,50.02
12 June 2022 09:11:55,50.04
12 June 2022 09:12:00,50.04
12 June 2022 09:12:05,50.03
12 June 2022 09:12:10,50.05
12 June 2022 09:12:15,50.04
12 June 2022 09:12:20,50.01
12 June 2022 09:12:25,50.03
12 June 2022 09:12:30,50.05
12 June 2022 09:12:35,50.02
12 June 2022 09:12:40,50.02
12 June 2022 09:12:45,50.02
12 June 2022 09:12:50,50.02
12 June 2022 09:12:55,50
12 June 2022 09:13:00,50.01
12 June 2022 09:13:05,50.01
12 June 2022 09:13:10,50.03
12 June 2022 09:13:15,50.02
12 June 2022 09:13:20,50.03
12 June 2022 09:13:25,50.01
12 June 2022 09:13:30,50
12 June 2022 09:13:35,50.01
12 June 2022 09:13:40,50.03
12 June 2022 09:13:45,50.04
12 June 2022 09:13:50,50.04
